city_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
68,Bardiyah,LY,31.7561,25.0865,65.19,68,62,8.93,broken clouds
69,Ilulissat,GL,69.2167,-51.1,10.42,72,30,9.22,scattered clouds
70,Victoria,HK,22.2855,114.1577,76.03,46,89,4.0,overcast clouds
71,Am Timan,TD,11.0297,20.2827,76.8,32,78,5.03,broken clouds
72,Seydi,TM,39.4816,62.9137,38.14,90,41,9.62,scattered clouds
73,Nanortalik,GL,60.1432,-45.2371,23.09,72,19,4.21,few clouds
74,Sechura,PE,-5.5569,-80.8222,63.14,83,93,11.5,overcast clouds
75,Ancud,CL,-41.8697,-73.8203,49.53,86,94,0.83,overcast clouds
76,Sile,TR,41.1754,29.6133,47.07,65,0,8.81,clear sky
77,Semnan,IR,35.5729,53.3971,47.34,50,97,6.11,overcast clouds
78,Timra,SE,62.487,17.3257,38.68,75,6,13.8,clear sky
79,Brae,GB,60.3964,-1.353,48.11,84,100,26.4,overcast clouds
80,Chyhyryn,UA,49.0838,32.6555,37.4,85,86,12.35,overcast clouds
81,Havre-Saint-Pierre,CA,50.2334,-63.5986,30.36,48,2,10.0,clear sky
82,Lodja,CD,-3.4833,23.4333,69.39,100,100,1.79,overcast clouds
83,Torbay,CA,47.6666,-52.7314,40.57,93,90,27.63,light intensity drizzle
84,East London,ZA,-33.0153,27.9116,62.2,86,63,4.41,broken clouds
85,Carnarvon,AU,-24.8667,113.6333,83.16,29,30,4.99,scattered clouds
86,Longyearbyen,SJ,78.2186,15.6401,8.44,78,75,3.44,broken clouds
87,Vikesa,NO,58.6376,6.0913,44.29,88,100,4.09,overcast clouds
88,Sume,BR,-7.6717,-36.88,72.59,78,0,9.04,clear sky
89,Ugu,IN,26.7833,80.3333,64.31,45,95,0.89,overcast clouds
90,Mananara,MG,-16.1667,49.7667,74.21,89,98,1.83,overcast clouds
91,Teya,RU,60.3778,92.6267,9.9,95,55,2.62,broken clouds
92,Saldanha,ZA,-33.0117,17.9442,62.06,88,75,17.81,broken clouds
93,Qaqortoq,GL,60.7167,-46.0333,21.7,61,15,6.89,few clouds
94,Senador Jose Porfirio,BR,-2.5908,-51.9542,75.47,74,89,2.28,overcast clouds
95,Saint-Augustin,CA,51.226,-58.6502,28.18,75,23,12.73,few clouds
96,Caucaia,BR,-3.7361,-38.6531,82.35,75,75,16.11,broken clouds
97,Balotra,IN,25.8333,72.2333,74.26,20,41,7.43,scattered clouds
98,Klaksvik,FO,62.2266,-6.589,43.72,78,100,34.05,overcast clouds
99,Firminy,FR,45.3873,4.2907,37.42,100,92,0.0,mist
100,Taoudenni,ML,22.6783,-3.9836,69.55,15,100,7.96,overcast clouds
101,Labe,GN,11.3182,-12.2833,62.94,87,100,2.35,light rain
102,Tessalit,ML,20.1986,1.0114,67.82,16,100,7.43,overcast clouds
103,Gat,IL,31.61,34.7642,65.39,51,100,2.35,overcast clouds
104,Rio Grande,BR,-32.035,-52.0986,63.57,57,82,15.32,broken clouds
105,Lincoln,US,40.8,-96.667,45.28,48,90,3.0,overcast clouds
106,Tabuk,PH,17.4189,121.4443,83.64,65,28,2.15,scattered clouds
107,Zlobin,HR,45.2924,14.6541,45.16,88,0,2.3,clear sky
108,Malinovoye Ozero,RU,51.6753,79.7825,33.06,55,100,9.48,overcast clouds
109,Marondera,ZW,-18.1853,31.5519,58.32,87,94,1.63,overcast clouds
110,Mahebourg,MU,-20.4081,57.7,79.25,94,40,3.44,scattered clouds
111,Ostrovnoy,RU,68.0531,39.5131,33.62,91,98,17.56,light rain
112,Vejen,DK,55.4833,9.15,47.61,100,99,4.61,overcast clouds
113,Saint-Joseph,RE,-21.3667,55.6167,76.21,68,1,4.09,clear sky
114,Bafq,IR,31.6128,55.4107,53.2,36,0,1.43,clear sky
115,Sur,OM,22.5667,59.5289,75.97,52,3,3.85,clear sky
116,Ponta Delgada,PT,37.7333,-25.6667,69.49,87,57,13.56,broken clouds
117,Mbekenyera,TZ,-10.0,38.9833,69.35,98,40,2.59,scattered clouds
118,Pokhara,NP,28.2333,83.9833,65.25,48,10,2.39,clear sky
119,Lichinga,MZ,-13.3128,35.2406,64.83,71,7,9.69,clear sky
120,Bonthe,SL,7.5264,-12.505,76.1,90,98,4.92,light rain
121,Oranjemund,NA,-28.55,16.4333,59.5,92,3,11.59,clear sky
122,Neuquen,AR,-38.9516,-68.0591,67.89,64,0,3.44,light rain
123,Korla,CN,41.7597,86.1469,33.08,27,99,3.42,overcast clouds
124,Sambava,MG,-14.2667,50.1667,74.75,85,42,2.68,scattered clouds
125,Awassa,ET,7.05,38.4667,61.84,77,100,1.79,overcast clouds
126,Hualmay,PE,-11.0964,-77.6139,63.66,84,84,10.58,broken clouds
