City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
493,Harindanga,IN,80.58,light rain,22.0383,88.3214,Hasanur Builders
498,Mitsamiouli,KM,79.57,broken clouds,-11.3847,43.2844,Foyer ADM
500,Chateaubelair,VC,79.41,scattered clouds,13.2833,-61.25,Richmond Vale Diving & Hiking Center
512,Santa Cruz Del Norte,CU,75.81,overcast clouds,23.1539,-81.9236,Felipon Pon Pon
519,Coruripe,BR,76.3,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
521,Tete,MZ,80.69,scattered clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
522,Isla Mujeres,MX,75.25,scattered clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
529,Natal,BR,77.65,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
530,Bodden Town,KY,78.8,few clouds,19.2833,-81.25,Will T Place
534,Funadhoo,MV,82.0,scattered clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
537,Marsh Harbour,BS,78.22,light rain,26.5412,-77.0636,Abaco Beach Resort
538,Guanica,PR,80.2,few clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
540,Veraval,IN,75.94,overcast clouds,20.9,70.3667,Lords Inn Somnath
542,Mahibadhoo,MV,82.35,scattered clouds,3.7833,72.9667,Omadhoo Inn
543,Port Blair,IN,82.72,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
550,Colombo,LK,81.03,broken clouds,6.9319,79.8478,Galle Face Hotel
551,Edd,ER,83.79,scattered clouds,13.9297,41.6925,
555,Puri,IN,81.12,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
556,Belmonte,BR,77.5,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
558,Chirongui,YT,75.13,light rain,-12.9319,45.1483,La Villa Mahatsara
559,Benevides,BR,78.6,scattered clouds,-1.3614,-48.2447,Sítio Taiassui
560,Vavuniya,LK,78.44,broken clouds,8.7514,80.4971,Thampa Hotel
567,Salalah,OM,78.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
569,Ajuterique,HN,75.87,scattered clouds,14.3833,-87.7,M&M Zavala Hotel and B&B
570,Axim,GH,77.99,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
571,Tabou,CI,77.68,light rain,4.423,-7.3528,hotêl doufoulougou
578,Cabo Rojo,PR,79.97,few clouds,18.0866,-67.1457,Hotel Perichi's
586,Saint-Leu,RE,77.86,clear sky,-21.15,55.2833,La Caz Oceane
588,Savelugu,GH,80.44,few clouds,9.6244,-0.8253,Yoo Naa's Palace
601,Cururupu,BR,75.69,few clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
602,Elesbao Veloso,BR,77.23,clear sky,-6.2019,-42.1403,Pousada Paraiso
606,Trincomalee,LK,80.89,broken clouds,8.5711,81.2335,Welcombe Hotel
609,Wawa,NG,78.73,overcast clouds,9.9022,4.4192,
611,Cabudare,VE,75.45,broken clouds,10.0289,-69.0894,Urbanización Ribera Santa Lucia
612,Gogrial,SS,75.15,broken clouds,8.5332,28.1004,
616,Tamandare,BR,76.57,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
618,Ambanja,MG,75.11,broken clouds,-13.6833,48.45,Hotel Salama and Fast Food
622,Rio Branco,BR,77.61,broken clouds,-9.9747,-67.81,Inácio Palace Hotel
623,Urucui,BR,77.05,clear sky,-7.2294,-44.5561,Hotel Premium Piauí
627,Kattivakkam,IN,77.09,overcast clouds,13.2167,80.3167,Euronova Freezer
636,Chandbali,IN,81.0,broken clouds,20.7833,86.7667,KABITA HOMES
642,Wattegama,LK,81.01,scattered clouds,6.7989,81.4808,
644,Boa Vista,BR,82.38,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
651,Itupiranga,BR,75.52,few clouds,-5.1347,-49.3267,Hotel Panorama
653,Sarh,TD,77.14,broken clouds,9.1429,18.3923,Domicile 1sur le goudron
