City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Kapoeta,SS,2021-11-08 04:04:03,4.7717,33.5903,79.45,56,95,5.66
59,Necochea,AR,2021-11-08 03:58:06,-38.5473,-58.7368,53.04,88,58,12.73
60,Hofn,IS,2021-11-08 03:55:01,64.2539,-15.2082,38.84,98,100,13.31
61,Saldanha,ZA,2021-11-08 03:54:51,-33.0117,17.9442,60.08,76,86,20.22
62,Marrakesh,MA,2021-11-08 03:59:27,31.6315,-8.0083,48.27,57,0,3.44
63,Ndende,GA,2021-11-08 04:04:05,-2.4008,11.3581,71.42,99,100,1.45
64,Tefe,BR,2021-11-08 04:00:18,-3.3542,-64.7114,72.9,93,55,1.5
65,Bengkulu,ID,2021-11-08 03:57:56,-3.8004,102.2655,83.79,66,100,6.58
66,Wundanyi,KE,2021-11-08 04:04:06,-3.4019,38.364,59.72,77,89,3.04
67,Budelsdorf,DE,2021-11-08 04:04:06,54.3167,9.6833,48.09,69,95,3.0
68,Utrecht,NL,2021-11-08 04:00:47,52.0,5.25,48.0,95,100,3.0
69,Bafoulabe,ML,2021-11-08 04:04:07,13.8065,-10.8321,80.44,43,10,2.17
70,Georgetown,MY,2021-11-08 03:55:32,5.4112,100.3354,87.89,80,20,1.01
71,Uberaba,BR,2021-11-08 04:04:08,-19.7483,-47.9319,73.51,70,49,4.16
72,Codrington,AU,2021-11-08 03:57:30,-38.2667,141.9667,59.67,58,84,10.78
73,Iqaluit,CA,2021-11-08 03:55:33,63.7506,-68.5145,10.13,78,1,15.99
74,Thurso,GB,2021-11-08 04:04:10,58.5927,-3.5259,44.85,76,94,6.08
75,Chuy,UY,2021-11-08 03:56:02,-33.6971,-53.4616,52.86,85,13,0.49
76,Salinas,US,2021-11-08 03:59:56,36.6777,-121.6555,55.51,79,64,1.39
77,Gazojak,TM,2021-11-08 04:04:11,41.1875,61.4036,39.94,19,98,3.29
